,OpenTime,hour,minute,day,month,year,open,high,low,close,volume,prev_close,prev_open,color,pivot_high,pivot_low,atr,center,up,down,in_uptrend,lowerband,upperband
0,2023-10-04 08:25:00,8.0,25.0,4.0,10.0,2023.0,1.1259,1.1268,1.1166,1.1222,570740.9,,,-1,,,,,,,0.0,,
1,2023-10-04 08:26:00,8.0,26.0,4.0,10.0,2023.0,1.1222,1.1245,1.1214,1.1226,177904.6,1.1222,1.1259,1,,,,,,,0.0,,
2,2023-10-04 08:27:00,8.0,27.0,4.0,10.0,2023.0,1.1229,1.124,1.1211,1.1235,145908.6,1.1226,1.1222,1,0.0,0.0,0.0030000000000001137,,,,0.0,,
3,2023-10-04 08:28:00,8.0,28.0,4.0,10.0,2023.0,1.1237,1.1258,1.1228,1.1257,179434.9,1.1235,1.1229,1,0.0,0.0,0.0030000000000000027,,,,0.0,,
4,2023-10-04 08:29:00,8.0,29.0,4.0,10.0,2023.0,1.1257,1.1292,1.1254,1.1263,200444.3,1.1257,1.1237,1,0.0,0.0,0.003400000000000014,,,,0.0,,
5,2023-10-04 08:30:00,8.0,30.0,4.0,10.0,2023.0,1.1262,1.1299,1.1253,1.129,146385.5,1.1263,1.1257,1,0.0,0.0,0.003999999999999976,,,,0.0,,
6,2023-10-04 08:31:00,8.0,31.0,4.0,10.0,2023.0,1.1289,1.1331,1.1275,1.1276,272589.8,1.129,1.1262,-1,0.0,0.0,0.004800000000000013,,,,0.0,,
7,2023-10-04 08:32:00,8.0,32.0,4.0,10.0,2023.0,1.1277,1.1291,1.1269,1.1272,100553.1,1.1276,1.1289,-1,0.0,0.0,0.003499999999999996,,,,0.0,,
8,2023-10-04 08:33:00,8.0,33.0,4.0,10.0,2023.0,1.1271,1.1276,1.1253,1.1259,82408.5,1.1272,1.1277,-1,1.1331,0.0,0.0028999999999999825,,,,0.0,,
9,2023-10-04 08:34:00,8.0,34.0,4.0,10.0,2023.0,1.1259,1.1271,1.1252,1.1262,81562.4,1.1259,1.1271,1,0.0,0.0,0.0023999999999999976,,,,0.0,,
10,2023-10-04 08:35:00,8.0,35.0,4.0,10.0,2023.0,1.1263,1.127,1.1246,1.1248,114575.7,1.1262,1.1259,-1,0.0,0.0,0.0023999999999999777,,,,0.0,,
11,2023-10-04 08:36:00,8.0,36.0,4.0,10.0,2023.0,1.1247,1.1249,1.12,1.1229,277752.2,1.1248,1.1263,-1,0.0,0.0,0.003649999999999941,,,,0.0,,
12,2023-10-04 08:37:00,8.0,37.0,4.0,10.0,2023.0,1.1229,1.1243,1.1209,1.121,146179.5,1.1229,1.1247,-1,0.0,0.0,0.0035250000000000056,,,,0.0,,
13,2023-10-04 08:38:00,8.0,38.0,4.0,10.0,2023.0,1.121,1.121,1.1152,1.1157,263056.8,1.121,1.1229,-1,0.0,0.0,0.0046625000000000165,,,,0.0,,
14,2023-10-04 08:39:00,8.0,39.0,4.0,10.0,2023.0,1.1158,1.1187,1.1152,1.117,379651.6,1.1157,1.121,1,0.0,0.0,0.004081250000000038,,,,0.0,,
15,2023-10-04 08:40:00,8.0,40.0,4.0,10.0,2023.0,1.117,1.118,1.1118,1.1122,350415.2,1.117,1.1158,-1,0.0,0.0,0.005140625000000122,,,,0.0,,
16,2023-10-04 08:41:00,8.0,41.0,4.0,10.0,2023.0,1.1122,1.1143,1.1113,1.1129,283706.7,1.1122,1.117,1,0.0,0.0,0.004070312500000117,,,,0.0,,
17,2023-10-04 08:42:00,8.0,42.0,4.0,10.0,2023.0,1.1129,1.1139,1.1101,1.1114,511445.2,1.1129,1.1122,-1,0.0,0.0,0.00393515624999996,,,,0.0,,
18,2023-10-04 08:43:00,8.0,43.0,4.0,10.0,2023.0,1.1115,1.1129,1.1108,1.1113,256152.2,1.1114,1.1129,-1,0.0,0.0,0.0030175781249999756,,,,0.0,,
19,2023-10-04 08:44:00,8.0,44.0,4.0,10.0,2023.0,1.1113,1.1117,1.1053,1.1101,809159.5,1.1113,1.1115,-1,0.0,0.0,0.004708789062499968,,,,0.0,,
20,2023-10-04 08:45:00,8.0,45.0,4.0,10.0,2023.0,1.1102,1.1145,1.1102,1.1105,277379.3,1.1101,1.1113,1,0.0,0.0,0.004554394531249964,,,,0.0,,
21,2023-10-04 08:46:00,8.0,46.0,4.0,10.0,2023.0,1.1108,1.1116,1.1067,1.1074,230408.6,1.1105,1.1102,-1,0.0,1.1053,0.004727197265624934,1.123833333,1.1115426201093752,1.136124045890625,False,1.1115426201093752,1.136124045890625
22,2023-10-04 08:47:00,8.0,47.0,4.0,10.0,2023.0,1.1074,1.1124,1.1062,1.1123,195709.9,1.1074,1.1108,1,1.1145,0.0,0.005463598632812459,1.120722222,1.1065168655546875,1.1349275784453123,False,1.1065168655546875,1.1349275784453123
